id;soru;cevap;kategori
38;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
39;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
40;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
41;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
42;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
43;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
44;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
45;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
46;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
47;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
48;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
49;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
50;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
51;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
52;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
53;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
54;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
55;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
56;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
57;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
58;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
59;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
60;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
61;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
62;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
63;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
64;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
65;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
66;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
67;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
68;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
69;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
70;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
71;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
72;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
73;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
74;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
75;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
76;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
77;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
78;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
79;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
80;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
81;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
82;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
83;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
84;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
85;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
86;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
87;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
88;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
89;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
90;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
91;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
92;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
93;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
94;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
95;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
96;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
97;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
98;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
99;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
100;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
101;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
102;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
103;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
104;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
105;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
106;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
107;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
108;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
109;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
110;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
111;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
112;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
113;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
114;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
115;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
116;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
117;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
118;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
119;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
120;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
121;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
122;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
123;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
124;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
125;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
126;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
127;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
128;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
129;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
130;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
131;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
132;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
133;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
134;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
135;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
136;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
137;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
138;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
139;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
140;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
141;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
142;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
143;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
144;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
145;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
146;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
147;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
148;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
149;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
150;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
151;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
152;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
153;Kredi notu nedir?;Kredi notu, bireyin finansal geçmişine göre belirlenen risk puanıdır.;Finansal Okuryazarlık
154;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
155;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
156;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
157;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
158;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
159;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
160;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
161;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
162;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
163;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
164;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
165;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
166;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
167;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
168;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
169;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
170;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
171;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
172;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
173;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
174;Tüketici fazlası nedir?;Tüketici fazlası, bir mal için ödemeye razı olunan fiyat ile ödenen fiyat arasındaki farktır.;Mikroekonomi
175;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
176;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
177;Hisse senedi ne işe yarar?;Hisse senedi, bir şirkete ortak olma payını temsil eder.;Yatırım ve Borsa
178;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
179;Kripto cüzdanı nedir?;Kripto cüzdanı, dijital varlıkları saklamak için kullanılan yazılım veya donanımdır.;Kripto Para
180;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
181;Bitcoin nedir?;Bitcoin, merkeziyetsiz bir dijital para birimidir.;Kripto Para
182;Enflasyon nedir?;Enflasyon, genel fiyat seviyesinin zaman içinde sürekli artmasıdır.;Makroekonomi
183;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
184;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
185;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
186;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
187;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
188;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
189;Temettü nedir?;Temettü, şirketin kârından hissedarlara dağıtılan paydır.;Yatırım ve Borsa
190;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
191;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
192;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
193;Banka kredisi nasıl alınır?;Banka kredisi, başvuru, değerlendirme ve onay süreciyle alınır.;Bankacılık
194;Blok zinciri nasıl çalışır?;Blok zinciri, işlemleri doğrulayan ve kaydeden dağıtık bir veri yapısıdır.;Kripto Para
195;Hayat sigortası nedir?;Hayat sigortası, vefat veya belirli durumlarda finansal güvence sağlayan poliçedir.;Sigorta
196;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
197;Faiz oranı nedir?;Faiz oranı, borç verilen paranın getirisini ifade eder.;Kredi ve Faiz
198;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
199;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
200;Faiz oranları neden yükselir?;Faiz oranları enflasyon artışı, döviz kuru baskısı veya sıkı para politikası nedeniyle yükselebilir.;Makroekonomi
201;Vadeli mevduat nedir?;Vadeli mevduat, belirli bir süre sonunda faiz getirisi sağlayan banka hesabıdır.;Bankacılık
202;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
203;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
204;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
205;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
206;Prim nedir?;Prim, sigorta için düzenli olarak ödenen bedeldir.;Sigorta
207;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
208;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
209;GSYH neyi ifade eder?;GSYH, bir ülkede belirli bir dönemde üretilen tüm nihai mal ve hizmetlerin toplam değeridir.;Makroekonomi
210;Kredi kartı limiti nasıl belirlenir?;Kredi kartı limiti, kişinin gelirine ve kredi notuna göre belirlenir.;Bankacılık
211;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
212;Kredi faizi nasıl hesaplanır?;Kredi faizi, anapara üzerinden belirli bir oranda hesaplanır.;Kredi ve Faiz
213;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
214;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
215;Borsa endeksi nedir?;Borsa endeksi, hisse senetlerinin performansını ölçen göstergedir.;Yatırım ve Borsa
216;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
217;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
218;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
219;Zorunlu trafik sigortası ne işe yarar?;Zorunlu trafik sigortası, kazalarda karşı tarafın zararını karşılar.;Sigorta
220;İhtiyaç kredisi nedir?;İhtiyaç kredisi, kişisel harcamalar için alınan kısa vadeli kredidir.;Kredi ve Faiz
221;Tasarruf neden önemlidir?;Tasarruf, gelecekteki harcamalar veya acil durumlar için güvence sağlar.;Finansal Okuryazarlık
222;Merkez Bankası ne iş yapar?;Merkez Bankası para politikasını belirler ve fiyat istikrarını sağlamaya çalışır.;Makroekonomi
223;Arz ve talep nedir?;Arz, satıcıların piyasaya sunduğu miktar;
224;Fiyat dengesi nasıl oluşur?;Piyasada arz ve talep eşitlendiğinde fiyat dengesi oluşur.;Mikroekonomi
225;Bütçe nasıl yapılır?;Gelir ve giderler belirlenip planlı bir şekilde yönetilerek bütçe oluşturulur.;Finansal Okuryazarlık
